EmployeeID,Team,Role,Location,CourseTitle,CourseCategory,IsMandatory,EnrollmentDate,CompletionDate,CompletionStatus,Score,DurationMinutes,LastAccessDate,AccessedViaDevice,SkillScore_Communication,SkillScore_TechEfficiency,SkillScore_Teamwork,SkillGapFlag,FeedbackComment,FeedbackRating,UsedScreenReader,Course Completion Time,Average Skill Score,Completion Month
E12680,IT,IT Support Officer,Trafford Branch,Data Protection,Systems Training,Yes,19-Nov-20,27-Nov-20,Completed,94,103,6-Mar-21,Tablet,4,1,2,Yes,Great course.,4,No,8,3,November
E17406,Customer Support,Support Specialist,Trafford Branch,Handling Difficult Conversations,Soft Skills,Yes,10-Jul-18,23-Oct-18,Completed,98,59,16-Dec-18,Desktop,2,1,3,Yes,Needs improvement.,1,No,105,0,October
E17495,IT,IT Support Officer,Civic Centre Hub,Data Protection,Systems Training,Yes,17-Oct-21,26-Oct-21,Completed,79,65,19-Dec-21,Mobile,5,1,3,Yes,Excellent content.,5,No,9,3,October
E15949,Customer Support,Customer Service Advisor,Wythenshawe Central,Handling Difficult Conversations,Soft Skills,Yes,17-Apr-21,26-Apr-21,Completed,70,73,8-May-21,Tablet,2,1,4,Yes,Great course.,4,No,9,-1,April
E19837,Housing Management,Tenancy Support Officer,Trafford Branch,Conflict Resolution,Soft Skills,Yes,23-Aug-19,9-Dec-19,Completed,76,90,27-Feb-20,Mobile,1,1,2,Yes,Very useful.,4,No,108,0,December
E19659,Customer Support,Contact Centre Agent,Civic Centre Hub,Handling Difficult Conversations,Soft Skills,Yes,15-Sep-23,30-Sep-23,Completed,74,66,20-Nov-23,Mobile,3,1,3,Yes,Excellent content.,5,No,15,1,September
E12761,IT,Network Technician,Wythenshawe Central,System Troubleshooting,Systems Training,Yes,28-Mar-25,15-Apr-25,Completed,77,113,20-Jun-25,Mobile,3,1,2,Yes,Excellent content.,5,No,18,2,April
E16199,IT,Systems Analyst,Northfield Office,Cybersecurity Essentials,Systems Training,Yes,24-Nov-19,30-Nov-19,Completed,99,103,22-Jan-20,Tablet,5,1,5,Yes,Very useful.,4,No,6,1,November
E12085,Housing Management,Tenancy Support Officer,Northfield Office,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,27-Jan-20,2-Feb-20,Completed,100,32,2-May-20,Mobile,1,1,5,Yes,Needs improvement.,1,No,6,-3,February
E12899,Repairs,Electrician,Northfield Office,Manual Handling,Compliance,Yes,12-Aug-24,20-Dec-24,Completed,69,113,1-Feb-25,Mobile,1,1,1,Yes,Very useful.,4,No,130,1,December
E19438,Housing Management,Tenancy Support Officer,Wythenshawe Central,Tenant Rights & Responsibilities,Organizational Onboarding,Yes,25-Mar-21,4-Oct-21,Completed,64,102,19-Dec-21,Tablet,3,1,1,Yes,Very useful.,4,No,193,3,October
E18412,IT,IT Support Officer,Northfield Office,System Troubleshooting,Systems Training,Yes,13-Mar-24,26-Mar-24,Completed,93,62,1-Apr-24,Mobile,1,1,5,Yes,Too basic.,2,No,13,-3,March
E16519,IT,Systems Analyst,Wythenshawe Central,Data Protection,Systems Training,Yes,27-Jul-19,31-Jul-19,Completed,63,43,30-Oct-19,Desktop,1,1,4,Yes,Great course.,4,No,4,-2,July
E19229,Repairs,Plumber,Wythenshawe Central,Fire Safety,Compliance,Yes,6-Sep-20,14-Sep-20,Completed,83,102,8-Nov-20,Mobile,5,1,2,Yes,Excellent content.,5,No,8,4,September
E16507,Facilities,Cleaner,Trafford Branch,Cleaning Protocols,Health & Safety,Yes,27-Jun-22,7-Aug-22,Completed,92,94,21-Oct-22,Desktop,1,1,3,Yes,Too basic.,2,No,41,-1,August
E18883,Repairs,Maintenance Technician,Trafford Branch,Manual Handling,Compliance,Yes,12-Nov-19,28-Dec-19,Completed,94,44,30-Dec-19,Desktop,5,1,4,Yes,Too basic.,2,No,46,2,December
E13605,Facilities,Facilities Manager,Trafford Branch,Cleaning Protocols,Health & Safety,Yes,23-Jan-21,26-Jan-21,Completed,92,53,5-May-21,Desktop,5,1,3,Yes,Excellent content.,5,No,3,3,January
E16305,Customer Support,Support Specialist,Trafford Branch,Customer Service Skills,Soft Skills,Yes,4-Jul-23,16-Jul-23,Completed,65,96,1-Oct-23,Desktop,5,1,5,Yes,Very useful.,4,No,12,1,July
E14206,Customer Support,Customer Service Advisor,Civic Centre Hub,Effective Communication,Soft Skills,Yes,1-May-21,1-Aug-21,Completed,74,85,31-Oct-21,Tablet,1,1,2,Yes,Too basic.,2,No,92,0,August
E11048,IT,IT Support Officer,Wythenshawe Central,Data Protection,Systems Training,Yes,10-Apr-24,19-Apr-24,Completed,73,42,25-Jun-24,Tablet,3,1,3,Yes,Great course.,4,No,9,1,April
E15271,Finance,Payroll Specialist,Civic Centre Hub,GDPR Basics,Compliance,Yes,9-Feb-24,15-Sep-24,Completed,76,66,11-Dec-24,Mobile,5,1,1,Yes,Very useful.,4,No,219,5,September
E12209,Customer Support,Support Specialist,Northfield Office,Handling Difficult Conversations,Soft Skills,Yes,22-Oct-19,27-Oct-19,Completed,97,89,29-Dec-19,Tablet,2,1,5,Yes,Great course.,4,No,5,-2,October
E17530,Facilities,Cleaner,Wythenshawe Central,Building Maintenance,Health & Safety,Yes,16-Sep-22,5-Oct-22,Completed,74,78,11-Nov-22,Desktop,4,1,3,Yes,Very useful.,4,No,19,2,October
E12296,Housing Management,Lettings Coordinator,Civic Centre Hub,Safeguarding Adults,Compliance,Yes,13-Dec-21,27-Dec-21,Completed,70,66,6-Apr-22,Desktop,3,1,1,Yes,Too basic.,2,No,14,3,December
